Position_X,Position_Y,Position_Z,Length,SideLeft,SideRight,Radius,Speed,Brake,Camber,Direction,Grade,Normal_X,Normal_Y,Normal_Z,Forward_X,Forward_Y,Forward_Z,Tag,LagG_Obsolete
-241.358139038086,19.0531997680664,-621.72705078125,0,9.81708335876465,5.25640058517456,3214.8798828125,36.7906684875488,0,0.0224940180778503,1,0.0177682992070913,-0.00884128082543612,0.999597012996674,0.0269758887588978,-0.558495104312897,0.0177654959261417,-0.829317629337311,0,-0.0138525664806366
-242.295654296875,19.0829830169678,-623.117614746094,1.67752635478973,9.76320171356201,5.3116307258606,5017.72802734375,37.3436126708984,0,0.0227968096733093,1,0.0177589729428291,-0.00910913106054068,0.999607861042023,0.0264795701950789,-0.558927774429321,0.017756175249815,-0.829026281833649,0,-0.011710399761796
-243.226181030273,19.1125164031982,-624.496826171875,3.34175038337708,9.70610618591309,5.36892366409302,15770.365234375,37.896556854248,0,0.0224133152514696,1,0.0177509672939777,-0.0084773413836956,0.999534726142883,0.029302479699254,-0.559202671051025,0.0177481714636087,-0.828840970993042,0,-0.00956823490560055
-244.142211914063,19.1415596008301,-625.854248046875,4.97984218597412,9.65334320068359,5.4238395690918,11808.390625,38.4495010375977,0,-0.021075613796711,-1,0.0177353098988533,-0.00729169370606542,0.999632954597473,0.0260907951742411,-0.559288918972015,0.0177325233817101,-0.828783214092255,0,-0.00742606818675995
-245.038909912109,19.169979095459,-627.183410644531,6.58371829986572,9.59899044036865,5.47900915145874,3639.0859375,39.00244140625,0,-0.020367344841361,-1,0.0177250392735004,-0.00626533105969429,0.999638080596924,0.0261593963950872,-0.559176445007324,0.0177222564816475,-0.828859210014343,0,-0.00528390519320965
-245.914535522461,19.1977138519287,-628.482543945313,8.15090847015381,9.54906272888184,5.53063726425171,2782.35400390625,39.5553894042969,0,-0.0196905080229044,-1,0.017702953889966,-0.00504147866740823,0.999631881713867,0.0266583412885666,-0.558819770812988,0.0177001785486937,-0.82910019159317,0,-0.00314173847436905
-246.769973754883,19.2248001098633,-629.753234863281,9.68324089050293,9.49818897247314,5.58167505264282,1846.12548828125,40.1083297729492,0,-0.0190130211412907,-1,0.0176825635135174,-0.00579661643132567,0.999659895896912,0.0254254844039679,-0.558363378047943,0.0176797974854708,-0.82940798997879,0,-0.000999573618173599
-247.608200073242,19.2513294219971,-631.000549316406,11.1865453720093,9.45215225219727,5.62890338897705,1611.31225585938,40.6612739562988,0,-0.0194092821329832,-1,0.0176532212644815,-0.00648376252502203,0.999651551246643,0.0255900640040636,-0.557688355445862,0.0176504701375961,-0.829862713813782,0,0.00114259496331215
-248.432769775391,19.2774314880371,-632.22998046875,12.6674013137817,9.40501117706299,5.67561674118042,1547.26892089844,41.2142181396484,0,-0.0193622540682554,-1,0.0176324415951967,-0.00846078433096409,0.999653220176697,0.0249386467039585,-0.55692595243454,0.0176297016441822,-0.830375015735626,0,0.0032847598195076
-249.24723815918,19.3032245635986,-633.446838378906,14.1322164535522,9.36411094665527,5.7188606262207,1806.52905273438,41.767162322998,0,-0.0196177400648594,-1,0.017614908516407,-0.00842580292373896,0.999645471572876,0.0252597518265247,-0.556140005588531,0.0176121760159731,-0.830901920795441,0,0.00542692467570305
